​ @tavomontana3302  siempre hay una opción y el cometer esos crímenes tan crueles escudándose de que son pobres no es una justificación,1 year ago (edited)
 @ensenarfacil1897  te AQA O,1 year ago (edited)
Excelente felicitaciones al presidente Dios lo bendiga todos los días de su vida 😊,1 year ago
Those Guards look like in GTA 5 they don’t Move just Stand there like Robots crazy imagine doing this the rest of your life for the prisoner who don’t take turns like guards days off,1 year ago
Cuál Latinoamérica? Acaso hablan latin? Claramente se puede leer República de El Salvador de América Central. De donde carajos sacas lo LATINO?,1 year ago
​ @venuzgiraldo8571 igual que en España 🇪🇸😂😂😂😂 los más peligrosos están en el desgobierno 🤷‍♀️,1 year ago (edited)
Que cosa ? Violar derechos humanos ?,1 year ago
Lo que toda Latinoamérica necesita. Bravo Bukele,1 year ago
​ @isabelsalmeronjuarez1220 si un sentimiento raro y hasta cierto punto deprimente pero te recuerdas que ellos mataron a sangre fría sin remordimiento a probablemente inocentes y se te pasa😅,1 year ago (edited)
Mexicanos: También tengo ese sueño Don pool,1 year ago
Aquí en Colombia por allá en el 2004 idolatraban a un presidente con su famosísima seguridad democrática. Ahora está siendo procesado por uno de los cientos de denuncias que tiene en su contra. No voy a decir cosas buenas o malas solo esperar que el tiempo y la historia le dé el reconocimiento que siempre el presidente de allá,1 year ago
Voz pisado zerote eres I tienes el mejor precidente del Salvador  🇸🇻 salud por el Salvador 🇸🇻 y que sigan asi con bukele Dios te bendiga saludos desde longbeach California y que viva 🇲🇽,1 year ago
🎉🎉 Felicidades por ese gran cambio! Saludos desde México 🇲🇽,1 year ago
Gracias por eso la verdad se necesita mucho,1 year ago
Oòœ,1 year ago
Y España también lo necesita por favor,1 year ago
Pues.. bien por la seguridad pero ahora a todos los salvadoreños les tocará mantener toda esa cárcel con sus impuestos si vieron el video de Rubén Diez (letal Crisis) la gente del Salvador sigue sin incremento salarial sube la canasta básica les están quitando espacios para venta de productos así que no todo es bonito… una cárcel enorme para un presidente que tiene problemas de niñez con la falta de seguridad,1 year ago
El mundo os envidia,1 year ago
Es triste ver tanto jóvenes y mayores tras las rejas pero ellos no pensaron cuando robaban asesinaban  a personas  honradas ellos mis se buscaron  donde están El Presidente Bukele está haciendo un país seguro y próspero. Cuiden a su presidente pueblo Salvadoreño ojalá que lo tengan por siempre.,1 year ago
Dios para mostrar su poder tuvo que convertir el peor país para vivir en un país completamente seguro,1 year ago
Las pistas están hechas con IA? 😮,1 year ago
Por eso me tuvimos que salir del país,1 year ago
Exacto ha dado un giro de 380 grados. Y si es un orgullo ser salvadoreños y tener como presidente al Sr. Nayib Bukelle 😊.  Todo gracias a Dios quien sabe qué es lo que realmente necesitamos y que vio las injusticias de los presidentes anteriores. Gracias Dios por.darnos al presidente Bukelle ❤,1 year ago
VIVA BUKELE!!!,1 year ago
 @SonidoRojo  Hay mucha gente que lo critica incluso en el mismo salvador hay gente que esta en desacuerdo pero es una estupides total,1 year ago (edited)
Yo soy prevendedor de productos y un día después iba a visitar santa ana y tuve un sueño en el sueño oía una voz no vayas que los pandilleros te van a matar y te matan no vayas que los pandilleros te van a matar y te matan y desperté con aquello pues no voy me iré a otro departamento y así lo hice y ese día asesinaron a tres personas ahí al rededor del mercado,1 year ago
Que pro,1 year ago
Me saludas por favor ❤,1 year ago
"Era hora de algo distinto / espero más realidsdes.

Lo siento.. pero era morboso en este tema hay..
Todavía no vi el vídeo...",1 year ago
Yo tube  que salir de Ecuador para viajar a  estados Unidos por que esta bien pero bien mal y eso😭,1 year ago
Bukele el mejor presidente! Colombia pide uno igual,1 year ago
Me slegra muchísimo que tu pais haya cambiado para bien.,1 year ago
Lo mismo decian los alemanes de los judios,4 months ago
Nunca he dicho esto por ningún presidente ¡¡ viva Bukele bendiciones a ese gran presidente!!,1 year ago
​ @tavomontana3302  el defiende a los criminales es porque también es lo Hmmm seras uno?  Puede ser porque no tiene sentido decir pobrecitos a estos seres que perdieron la humanidad.,1 year ago (edited)
"Entiendo tu sentir y el de todo aquel que pasó por este triste situación de crimínale pero …
He visto videos donde también discuten que hay muchos Inocentes que culparon saben algo acerca de esto ⁉️🤔💬",1 year ago
 @jaimehernandez9321  y donde estan que no los hemos visto,1 year ago (edited)
